"Player","Season","Age","Team","League","Position","Games","Games Starter","Minutes Played","Field Goals","Field Attempts","Field Percent","3PTS Goals","3PTS Attempts","3PTS Percent","2PTS Goals","2PTS Attempts","2PTS Percent","Effective Goal Percent","Free Throw","Free Throw Attempts","Free Throw Percent","Offensive Rebounds","Defensive Rebounds","Total Rebounds","Assists","Steals","Blocks","Turnovers","Fouls","Points","Triples Dobles"
"Alaa Abdelnaby","1990-91","22","POR","NBA","PF","43","0","290","55","116",".474","0","0","none","55","116",".474",".474","25","44",".568","27","62","89","12","4","12","22","39","135","none"
"Alaa Abdelnaby","1991-92","23","POR","NBA","PF","71","1","934","178","361",".493","0","0","none","178","361",".493",".493","76","101",".752","81","179","260","30","25","16","66","132","432","none"
"Alaa Abdelnaby","1992-93","24","TOT","NBA","PF","75","52","1311","245","473",".518","0","1",".000","245","472",".519",".518","88","116",".759","126","211","337","27","25","26","97","189","578","none"
"Alaa Abdelnaby","1992-93","24","MIL","NBA","PF","12","0","159","26","56",".464","0","1",".000","26","55",".473",".464","12","16",".750","12","25","37","10","6","4","13","24","64","none"
"Alaa Abdelnaby","1992-93","24","BOS","NBA","PF","63","52","1152","219","417",".525","0","0","none","219","417",".525",".525","76","100",".760","114","186","300","17","19","22","84","165","514","none"
"Alaa Abdelnaby","1993-94","25","BOS","NBA","PF","13","0","159","24","55",".436","0","0","none","24","55",".436",".436","16","25",".640","12","34","46","3","2","3","17","20","64","none"
"Alaa Abdelnaby","1994-95","26","TOT","NBA","PF","54","0","506","118","231",".511","0","2",".000","118","229",".515",".511","20","35",".571","37","77","114","13","15","12","45","104","256","none"
"Alaa Abdelnaby","1994-95","26","SAC","NBA","PF","51","0","476","117","220",".532","0","2",".000","117","218",".537",".532","20","35",".571","34","72","106","13","15","12","40","102","254","none"
"Alaa Abdelnaby","1994-95","26","PHI","NBA","PF","3","0","30","1","11",".091","0","0","none","1","11",".091",".091","0","0","none","3","5","8","0","0","0","5","2","2","none"
"Zaid Abdul-Aziz","1968-69","22","TOT","NBA","C","49","none","945","144","390",".369","none","none","none","none","none","none","none","70","113",".619","none","none","409","37","none","none","none","115","358","none"
"Zaid Abdul-Aziz","1968-69","22","CIN","NBA","none","20","none","108","18","43",".419","none","none","none","none","none","none","none","2","7",".286","none","none","31","4","none","none","none","17","38","none"
"Zaid Abdul-Aziz","1968-69","22","MIL","NBA","C","29","none","837","126","347",".363","none","none","none","none","none","none","none","68","106",".642","none","none","378","33","none","none","none","98","320","none"
"Zaid Abdul-Aziz","1969-70","23","MIL","NBA","PF","80","none","1637","237","546",".434","none","none","none","none","none","none","none","119","185",".643","none","none","603","62","none","none","none","167","593","none"
"Zaid Abdul-Aziz","1970-71","24","SEA","NBA","C","61","none","1276","263","597",".441","none","none","none","none","none","none","none","139","188",".739","none","none","468","42","none","none","none","118","665","none"
"Zaid Abdul-Aziz","1971-72","25","SEA","NBA","C","58","none","1780","322","751",".429","none","none","none","none","none","none","none","154","214",".720","none","none","654","124","none","none","none","178","798","none"
"Zaid Abdul-Aziz","1972-73","26","HOU","NBA","C","48","none","900","149","375",".397","none","none","none","none","none","none","none","119","162",".735","none","none","304","53","none","none","none","108","417","none"
"Zaid Abdul-Aziz","1973-74","27","HOU","NBA","C","79","none","2459","336","732",".459","none","none","none","none","none","none","none","193","240",".804","259","664","923","166","80","104","none","227","865","none"
"Zaid Abdul-Aziz","1974-75","28","HOU","NBA","C","65","none","1450","235","538",".437","none","none","none","none","none","none","none","159","203",".783","154","334","488","84","37","74","none","128","629","none"
"Zaid Abdul-Aziz","1975-76","29","SEA","NBA","C","27","none","223","35","75",".467","none","none","none","none","none","none","none","16","29",".552","30","46","76","16","8","15","none","29","86","none"
"Zaid Abdul-Aziz","1976-77","30","BUF","NBA","C","22","none","195","25","74",".338","none","none","none","none","none","none","none","33","43",".767","41","49","90","7","3","9","none","21","83","none"
"Zaid Abdul-Aziz","1977-78","31","TOT","NBA","C,PF","16","none","158","23","60",".383","none","none","none","none","none","none","none","17","23",".739","19","31","50","10","3","3","14","29","63","none"
"Zaid Abdul-Aziz","1977-78","31","BOS","NBA","C","2","none","24","3","13",".231","none","none","none","none","none","none","none","2","3",".667","6","9","15","3","1","1","3","4","8","none"
"Zaid Abdul-Aziz","1977-78","31","HOU","NBA","PF","14","none","134","20","47",".426","none","none","none","none","none","none","none","15","20",".750","13","22","35","7","2","2","11","25","55","none"
"Kareem Abdul-Jabbar","1969-70","22","MIL","NBA","C","82","none","3534","938","1810",".518","none","none","none","938","1810",".518",".518","485","743",".653","none","none","1190","337","none","none","none","283","2361","0"
