"Name","Position","College","Draft Team","Draft Position","Birthday","Age","Draft Year","Career Experience"
"Alaa Abdelnaby","Power Forward","Duke","Portland Trail Blazers","25th pick","1968-06-24","54","1990","5"
"Zaid Abdul-Aziz","Center and Power Forward","Iowa State","Cincinnati Royals","5th pick","1946-04-07","76","1968","10"
"Kareem Abdul-Jabbar","Center","UCLA","Milwaukee Bucks","1st pick","1947-04-16","75","1969","20"
"Mahmoud Abdul-Rauf","Point Guard","LSU","Denver Nuggets","3rd pick","1969-03-09","53","1990","9"
"Tariq Abdul-Wahad","Shooting Guard","Michigan, San Jose State","Sacramento Kings","11th pick","1974-11-03","48","1997","6"
"Shareef Abdur-Rahim","Power Forward, Small Forward, and Center","California","Vancouver Grizzlies","3rd pick","1976-12-11","46","1996","12"
"Tom Abernethy","Small Forward and Power Forward","Indiana","Los Angeles Lakers","9th pick","1954-05-06","68","1976","5"
"Forest Able","Guard","Western Kentucky","Syracuse Nationals","5th pick","1932-07-27","90","1956","1"
"John Abramovic","Forward","Salem University","none","none","1919-02-09","81","0","2"
"Álex Abrines","Shooting Guard","none","Oklahoma City Thunder","2nd pick","1993-08-01","29","2013","0"
"Precious Achiuwa","Center and Power Forward","Memphis","Miami Heat","20th pick","1999-09-19","23","2020","0"
"Alex Acker","Shooting Guard","Pepperdine","Detroit Pistons","30th pick","1983-01-21","39","2005","2"
"Don Ackerman","Point Guard","Long Island University","New York Knicks","2nd pick","1930-09-04","80","1953","1"
"Mark Acres","Center","Oral Roberts","Dallas Mavericks","16th pick","1962-11-15","60","1985","6"
"Bud Acton","Small Forward","Hillsdale College","none","none","1942-01-11","80","0","1"
"Quincy Acy","Power Forward and Small Forward","Baylor","Toronto Raptors","7th pick","1990-10-06","32","2012","0"
"Alvan Adams","Center and Power Forward","Oklahoma","Phoenix Suns","4th pick","1954-07-19","68","1975","13"
"Don Adams","Small Forward","Northwestern","San Diego Rockets","1st pick","1947-11-27","66","1970","7"
"George Adams","Small Forward","Gardner-Webb University","Milwaukee Bucks","16th pick","1949-05-15","73","1972","3"
"Hassan Adams","Shooting Guard","Arizona","New Jersey Nets","24th pick","1984-06-20","38","2006","2"
"Jaylen Adams","Point Guard","St. Bonaventure","none","none","1996-05-04","26","0","0"
"Jordan Adams","Shooting Guard","UCLA","Memphis Grizzlies","22nd pick","1994-07-08","28","2014","2"
"Michael Adams","Point Guard","Boston College","Sacramento Kings","19th pick","1963-01-19","59","1985","11"
"Steven Adams","Center","Pitt","Oklahoma City Thunder","12th pick","1993-07-20","29","2013","0"
"Rafael Addison","Small Forward","Syracuse","Phoenix Suns","15th pick","1964-07-22","58","1986","6"
