"Season","Team","Wins","Loses","Win Rate","Games Behind","Points Per Game","Opponents PTSxGame","Team Rating","Conference"
"2022-23","Boston Celtics (1) ","21","6",".778","none","120.3","112.4","8.27","Eastern"
"2022-23","Milwaukee Bucks (2) ","19","7",".731","none","112.0","107.5","3.67","Eastern"
"2022-23","Cleveland Cavaliers (3) ","17","10",".630","2.5","110.9","104.8","5.96","Eastern"
"2022-23","Brooklyn Nets (4) ","16","12",".571","5.5","112.5","111.3","1.29","Eastern"
"2022-23","Philadelphia 76ers (5) ","14","12",".538","6.5","110.7","108.4","1.81","Eastern"
"2022-23","New York Knicks (8) ","14","13",".519","7.0","113.8","112.9","1.25","Eastern"
"2022-23","Indiana Pacers (7) ","14","13",".519","5.5","115.9","116.7","-1.99","Eastern"
"2022-23","Atlanta Hawks (6) ","14","13",".519","none","113.5","114.1","-0.35","Eastern"
"2022-23","Toronto Raptors (9) ","13","14",".481","8.0","110.9","110.0","0.69","Eastern"
"2022-23","Miami Heat (10) ","12","15",".444","2.0","108.6","110.3","-1.37","Eastern"
"2022-23","Chicago Bulls (11) ","11","15",".423","8.0","113.3","113.3","1.38","Eastern"
"2022-23","Washington Wizards (12) ","11","16",".407","3.0","110.8","113.0","-2.26","Eastern"
"2022-23","Orlando Magic (13) ","8","20",".286","6.5","108.2","113.3","-4.68","Eastern"
"2022-23","Detroit Pistons (15) ","7","22",".241","13.5","109.9","117.0","-5.49","Eastern"
"2022-23","Charlotte Hornets (14) ","7","20",".259","7.0","109.4","116.2","-6.55","Eastern"
"2022-23","New Orleans Pelicans (1) ","18","8",".692","none","117.6","110.6","6.76","Western"
"2022-23","Memphis Grizzlies (2) ","17","9",".654","1.0","115.0","112.0","2.75","Western"
"2022-23","Denver Nuggets (3) ","16","10",".615","none","115.0","113.8","0.36","Western"
"2022-23","Phoenix Suns (4) ","16","11",".593","none","116.1","111.3","5.00","Western"
"2022-23","Utah Jazz (9) ","15","14",".517","2.5","117.3","115.9","1.28","Western"
"2022-23","Los Angeles Clippers (7) ","15","13",".536","1.5","107.7","109.2","-2.74","Western"
"2022-23","Portland Trail Blazers (6) ","14","12",".538","2.0","111.2","111.6","-0.01","Western"
"2022-23","Sacramento Kings (5) ","14","11",".560","1.0","118.0","115.0","3.15","Western"
"2022-23","Golden State Warriors (8) ","14","13",".519","2.0","117.6","116.1","1.72","Western"
"2022-23","Minnesota Timberwolves (11) ","13","13",".500","3.0","115.4","116.1","-1.81","Western"
"2022-23","Dallas Mavericks (10) ","13","13",".500","5.0","111.5","110.0","2.30","Western"
"2022-23","Oklahoma City Thunder (13) ","11","15",".423","5.0","115.8","117.6","-1.65","Western"
"2022-23","Los Angeles Lakers (12) ","11","15",".423","4.5","114.8","116.3","-2.05","Western"
"2022-23","San Antonio Spurs (14) ","8","18",".308","10.0","110.0","120.4","-10.38","Western"
"2022-23","Houston Rockets (15) ","8","18",".308","10.0","110.3","116.2","-5.62","Western"
"2021-22","Miami Heat*","53","29",".646","none","110.0","105.6","4.23","Eastern"
"2021-22","Boston Celtics*","51","31",".622","none","111.8","104.5","7.02","Eastern"
"2021-22","Philadelphia 76ers*","51","31",".622","none","109.9","107.3","2.57","Eastern"
"2021-22","Milwaukee Bucks*","51","31",".622","none","115.5","112.1","3.22","Eastern"
"2021-22","Toronto Raptors*","48","34",".585","3.0","109.4","107.1","2.38","Eastern"
"2021-22","Chicago Bulls*","46","36",".561","5.0","111.6","112.0","-0.38","Eastern"
"2021-22","Brooklyn Nets*","44","38",".537","7.0","112.9","112.1","0.82","Eastern"
"2021-22","Cleveland Cavaliers","44","38",".537","7.0","107.8","105.7","2.04","Eastern"
"2021-22","Atlanta Hawks*","43","39",".524","10.0","113.9","112.4","1.55","Eastern"
"2021-22","Charlotte Hornets","43","39",".524","10.0","115.3","114.9","0.53","Eastern"
