"Game ID","Date","Visitor","Points Visitor","Local","Points Local","Arena","Link"
"1","Sat, May 22, 2021","Miami Heat","107","Milwaukee Bucks","109","Fiserv Forum","https://www.basketball-reference.com/boxscores/202105220MIL.html"
"2","Sat, May 22, 2021","Dallas Mavericks","113","Los Angeles Clippers","103","STAPLES Center","https://www.basketball-reference.com/boxscores/202105220LAC.html"
"3","Sat, May 22, 2021","Boston Celtics","93","Brooklyn Nets","104","Barclays Center","https://www.basketball-reference.com/boxscores/202105220BRK.html"
"4","Sat, May 22, 2021","Portland Trail Blazers","123","Denver Nuggets","109","Ball Arena","https://www.basketball-reference.com/boxscores/202105220DEN.html"
"5","Sun, May 23, 2021","Washington Wizards","118","Philadelphia 76ers","125","Wells Fargo Center","https://www.basketball-reference.com/boxscores/202105230PHI.html"
"6","Sun, May 23, 2021","Los Angeles Lakers","90","Phoenix Suns","99","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202105230PHO.html"
"7","Sun, May 23, 2021","Atlanta Hawks","107","New York Knicks","105","Madison Square Garden (IV)","https://www.basketball-reference.com/boxscores/202105230NYK.html"
"8","Sun, May 23, 2021","Memphis Grizzlies","112","Utah Jazz","109","Vivint Smart Home Arena","https://www.basketball-reference.com/boxscores/202105230UTA.html"
"9","Mon, May 24, 2021","Miami Heat","98","Milwaukee Bucks","132","Fiserv Forum","https://www.basketball-reference.com/boxscores/202105240MIL.html"
"10","Mon, May 24, 2021","Portland Trail Blazers","109","Denver Nuggets","128","Ball Arena","https://www.basketball-reference.com/boxscores/202105240DEN.html"
"11","Tue, May 25, 2021","Boston Celtics","108","Brooklyn Nets","130","Barclays Center","https://www.basketball-reference.com/boxscores/202105250BRK.html"
"12","Tue, May 25, 2021","Los Angeles Lakers","109","Phoenix Suns","102","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202105250PHO.html"
"13","Tue, May 25, 2021","Dallas Mavericks","127","Los Angeles Clippers","121","STAPLES Center","https://www.basketball-reference.com/boxscores/202105250LAC.html"
"14","Wed, May 26, 2021","Washington Wizards","95","Philadelphia 76ers","120","Wells Fargo Center","https://www.basketball-reference.com/boxscores/202105260PHI.html"
"15","Wed, May 26, 2021","Atlanta Hawks","92","New York Knicks","101","Madison Square Garden (IV)","https://www.basketball-reference.com/boxscores/202105260NYK.html"
"16","Wed, May 26, 2021","Memphis Grizzlies","129","Utah Jazz","141","Vivint Smart Home Arena","https://www.basketball-reference.com/boxscores/202105260UTA.html"
"17","Thu, May 27, 2021","Milwaukee Bucks","113","Miami Heat","84","AmericanAirlines Arena","https://www.basketball-reference.com/boxscores/202105270MIA.html"
"18","Thu, May 27, 2021","Phoenix Suns","95","Los Angeles Lakers","109","STAPLES Center","https://www.basketball-reference.com/boxscores/202105270LAL.html"
"19","Thu, May 27, 2021","Denver Nuggets","120","Portland Trail Blazers","115","Moda Center","https://www.basketball-reference.com/boxscores/202105270POR.html"
"20","Fri, May 28, 2021","New York Knicks","94","Atlanta Hawks","105","State Farm Arena","https://www.basketball-reference.com/boxscores/202105280ATL.html"
"21","Fri, May 28, 2021","Brooklyn Nets","119","Boston Celtics","125","TD Garden","https://www.basketball-reference.com/boxscores/202105280BOS.html"
"22","Fri, May 28, 2021","Los Angeles Clippers","118","Dallas Mavericks","108","American Airlines Center","https://www.basketball-reference.com/boxscores/202105280DAL.html"
"23","Sat, May 29, 2021","Milwaukee Bucks","120","Miami Heat","103","AmericanAirlines Arena","https://www.basketball-reference.com/boxscores/202105290MIA.html"
"24","Sat, May 29, 2021","Denver Nuggets","95","Portland Trail Blazers","115","Moda Center","https://www.basketball-reference.com/boxscores/202105290POR.html"
"25","Sat, May 29, 2021","Philadelphia 76ers","132","Washington Wizards","103","Capital One Arena","https://www.basketball-reference.com/boxscores/202105290WAS.html"
"26","Sat, May 29, 2021","Utah Jazz","121","Memphis Grizzlies","111","FedEx Forum","https://www.basketball-reference.com/boxscores/202105290MEM.html"
"27","Sun, May 30, 2021","New York Knicks","96","Atlanta Hawks","113","State Farm Arena","https://www.basketball-reference.com/boxscores/202105300ATL.html"
"28","Sun, May 30, 2021","Phoenix Suns","100","Los Angeles Lakers","92","STAPLES Center","https://www.basketball-reference.com/boxscores/202105300LAL.html"
"29","Sun, May 30, 2021","Brooklyn Nets","141","Boston Celtics","126","TD Garden","https://www.basketball-reference.com/boxscores/202105300BOS.html"
"30","Sun, May 30, 2021","Los Angeles Clippers","106","Dallas Mavericks","81","American Airlines Center","https://www.basketball-reference.com/boxscores/202105300DAL.html"
"31","Mon, May 31, 2021","Philadelphia 76ers","114","Washington Wizards","122","Capital One Arena","https://www.basketball-reference.com/boxscores/202105310WAS.html"
"32","Mon, May 31, 2021","Utah Jazz","120","Memphis Grizzlies","113","FedEx Forum","https://www.basketball-reference.com/boxscores/202105310MEM.html"
"33","Tue, Jun 1, 2021","Boston Celtics","109","Brooklyn Nets","123","Barclays Center","https://www.basketball-reference.com/boxscores/202106010BRK.html"
"34","Tue, Jun 1, 2021","Portland Trail Blazers","140","Denver Nuggets","147","Ball Arena","https://www.basketball-reference.com/boxscores/202106010DEN.html"
"35","Tue, Jun 1, 2021","Los Angeles Lakers","85","Phoenix Suns","115","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202106010PHO.html"
"36","Wed, Jun 2, 2021","Washington Wizards","112","Philadelphia 76ers","129","Wells Fargo Center","https://www.basketball-reference.com/boxscores/202106020PHI.html"
"37","Wed, Jun 2, 2021","Atlanta Hawks","103","New York Knicks","89","Madison Square Garden (IV)","https://www.basketball-reference.com/boxscores/202106020NYK.html"
"38","Wed, Jun 2, 2021","Memphis Grizzlies","110","Utah Jazz","126","Vivint Smart Home Arena","https://www.basketball-reference.com/boxscores/202106020UTA.html"
"39","Wed, Jun 2, 2021","Dallas Mavericks","105","Los Angeles Clippers","100","STAPLES Center","https://www.basketball-reference.com/boxscores/202106020LAC.html"
"40","Thu, Jun 3, 2021","Denver Nuggets","126","Portland Trail Blazers","115","Moda Center","https://www.basketball-reference.com/boxscores/202106030POR.html"
"41","Thu, Jun 3, 2021","Phoenix Suns","113","Los Angeles Lakers","100","STAPLES Center","https://www.basketball-reference.com/boxscores/202106030LAL.html"
"42","Fri, Jun 4, 2021","Los Angeles Clippers","104","Dallas Mavericks","97","American Airlines Center","https://www.basketball-reference.com/boxscores/202106040DAL.html"
"43","Sat, Jun 5, 2021","Milwaukee Bucks","107","Brooklyn Nets","115","Barclays Center","https://www.basketball-reference.com/boxscores/202106050BRK.html"
"44","Sun, Jun 6, 2021","Atlanta Hawks","128","Philadelphia 76ers","124","Wells Fargo Center","https://www.basketball-reference.com/boxscores/202106060PHI.html"
"45","Sun, Jun 6, 2021","Dallas Mavericks","111","Los Angeles Clippers","126","STAPLES Center","https://www.basketball-reference.com/boxscores/202106060LAC.html"
"46","Mon, Jun 7, 2021","Milwaukee Bucks","86","Brooklyn Nets","125","Barclays Center","https://www.basketball-reference.com/boxscores/202106070BRK.html"
"47","Mon, Jun 7, 2021","Denver Nuggets","105","Phoenix Suns","122","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202106070PHO.html"
"48","Tue, Jun 8, 2021","Atlanta Hawks","102","Philadelphia 76ers","118","Wells Fargo Center","https://www.basketball-reference.com/boxscores/202106080PHI.html"
"49","Tue, Jun 8, 2021","Los Angeles Clippers","109","Utah Jazz","112","Vivint Smart Home Arena","https://www.basketball-reference.com/boxscores/202106080UTA.html"
"50","Wed, Jun 9, 2021","Denver Nuggets","98","Phoenix Suns","123","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202106090PHO.html"
"51","Thu, Jun 10, 2021","Brooklyn Nets","83","Milwaukee Bucks","86","Fiserv Forum","https://www.basketball-reference.com/boxscores/202106100MIL.html"
"52","Thu, Jun 10, 2021","Los Angeles Clippers","111","Utah Jazz","117","Vivint Smart Home Arena","https://www.basketball-reference.com/boxscores/202106100UTA.html"
"53","Fri, Jun 11, 2021","Philadelphia 76ers","127","Atlanta Hawks","111","State Farm Arena","https://www.basketball-reference.com/boxscores/202106110ATL.html"
"54","Fri, Jun 11, 2021","Phoenix Suns","116","Denver Nuggets","102","Ball Arena","https://www.basketball-reference.com/boxscores/202106110DEN.html"
"55","Sat, Jun 12, 2021","Utah Jazz","106","Los Angeles Clippers","132","STAPLES Center","https://www.basketball-reference.com/boxscores/202106120LAC.html"
"56","Sun, Jun 13, 2021","Brooklyn Nets","96","Milwaukee Bucks","107","Fiserv Forum","https://www.basketball-reference.com/boxscores/202106130MIL.html"
"57","Sun, Jun 13, 2021","Phoenix Suns","125","Denver Nuggets","118","Ball Arena","https://www.basketball-reference.com/boxscores/202106130DEN.html"
"58","Mon, Jun 14, 2021","Philadelphia 76ers","100","Atlanta Hawks","103","State Farm Arena","https://www.basketball-reference.com/boxscores/202106140ATL.html"
"59","Mon, Jun 14, 2021","Utah Jazz","104","Los Angeles Clippers","118","STAPLES Center","https://www.basketball-reference.com/boxscores/202106140LAC.html"
"60","Tue, Jun 15, 2021","Milwaukee Bucks","108","Brooklyn Nets","114","Barclays Center","https://www.basketball-reference.com/boxscores/202106150BRK.html"
"61","Wed, Jun 16, 2021","Atlanta Hawks","109","Philadelphia 76ers","106","Wells Fargo Center","https://www.basketball-reference.com/boxscores/202106160PHI.html"
"62","Wed, Jun 16, 2021","Los Angeles Clippers","119","Utah Jazz","111","Vivint Smart Home Arena","https://www.basketball-reference.com/boxscores/202106160UTA.html"
"63","Thu, Jun 17, 2021","Brooklyn Nets","89","Milwaukee Bucks","104","Fiserv Forum","https://www.basketball-reference.com/boxscores/202106170MIL.html"
"64","Fri, Jun 18, 2021","Philadelphia 76ers","104","Atlanta Hawks","99","State Farm Arena","https://www.basketball-reference.com/boxscores/202106180ATL.html"
"65","Fri, Jun 18, 2021","Utah Jazz","119","Los Angeles Clippers","131","STAPLES Center","https://www.basketball-reference.com/boxscores/202106180LAC.html"
"66","Sat, Jun 19, 2021","Milwaukee Bucks","115","Brooklyn Nets","111","Barclays Center","https://www.basketball-reference.com/boxscores/202106190BRK.html"
"67","Sun, Jun 20, 2021","Los Angeles Clippers","114","Phoenix Suns","120","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202106200PHO.html"
"68","Sun, Jun 20, 2021","Atlanta Hawks","103","Philadelphia 76ers","96","Wells Fargo Center","https://www.basketball-reference.com/boxscores/202106200PHI.html"
"69","Tue, Jun 22, 2021","Los Angeles Clippers","103","Phoenix Suns","104","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202106220PHO.html"
"70","Wed, Jun 23, 2021","Atlanta Hawks","116","Milwaukee Bucks","113","Fiserv Forum","https://www.basketball-reference.com/boxscores/202106230MIL.html"
"71","Thu, Jun 24, 2021","Phoenix Suns","92","Los Angeles Clippers","106","STAPLES Center","https://www.basketball-reference.com/boxscores/202106240LAC.html"
"72","Fri, Jun 25, 2021","Atlanta Hawks","91","Milwaukee Bucks","125","Fiserv Forum","https://www.basketball-reference.com/boxscores/202106250MIL.html"
"73","Sat, Jun 26, 2021","Phoenix Suns","84","Los Angeles Clippers","80","STAPLES Center","https://www.basketball-reference.com/boxscores/202106260LAC.html"
"74","Sun, Jun 27, 2021","Milwaukee Bucks","113","Atlanta Hawks","102","State Farm Arena","https://www.basketball-reference.com/boxscores/202106270ATL.html"
"75","Mon, Jun 28, 2021","Los Angeles Clippers","116","Phoenix Suns","102","Phoenix Suns Arena","https://www.basketball-reference.com/boxscores/202106280PHO.html"
